repo_path	expected	expected_source	expected_detail	expected_shape
unison-src/tests/inner-lambda1.u	success	reference-parser		terms=User "search";types=;abilities=
unison-src/tests/inner-lambda2.u	success	reference-parser		terms=User "search";types=;abilities=
unison-src/tests/io-state2.u	success	reference-parser		terms=User "foo";types=User "Optional";abilities=User "IO",User "State"
unison-src/tests/io-state3.u	success	reference-parser		terms=User "ex1";types=;abilities=User "IO"
unison-src/tests/keyword-parse.u	success	reference-parser		terms=User "f";types=;abilities=
unison-src/tests/lambda-closing-over-effectful-fn.u	success	reference-parser		terms=User "unfold";types=;abilities=
unison-src/tests/links.u	success	reference-parser		terms=User "dropLink",User "natLink",User "takeLink";types=;abilities=
unison-src/tests/map-traverse.u	success	reference-parser		terms=User "c",User "ex",User "map",User "pureMap",User "z",User "zappy",User "zappy2";types=User "List";abilities=User "Noop",User "Noop2"
unison-src/tests/map-traverse2.u	success	reference-parser		terms=User "c",User "ex",User "map",User "pureMap",User "z",User "zappy",User "zappy2";types=User "List";abilities=User "Noop",User "Noop2"
unison-src/tests/mergesort.u	success	reference-parser		terms=User "halveWith",User "merge",User "sort";types=;abilities=
unison-src/tests/methodical/abilities.u	success	reference-parser		terms=User "a1",User "ab1",User "ab2",User "abh",User "f",User "g",User "nh",User "unA",User "x";types=;abilities=User "A",User "B",User "C"
unison-src/tests/methodical/apply-constructor.u	success	reference-parser		terms=User "exactt",User "toSeq",User "underapply0t",User "underapply1t",User "underapply2t";types=User "Woot";abilities=
unison-src/tests/methodical/apply.u	success	reference-parser		terms=User "exact",User "exact1",User "fn",User "fn2",User "overapply1",User "overapply2",User "overapplyN",User "underapply0",User "underapply1",User "underapply2";types=;abilities=
unison-src/tests/methodical/builtin-nat-to-float.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/builtins.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/cycle-minimize.u	success	reference-parser		terms=User "ex";types=;abilities=User "SpaceAttack"
unison-src/tests/methodical/dots.u	success	reference-parser		terms=User "`.`",User "base.function.`.`",User "ex",User "ex2",User "id",User "id2",User "oop.syntax.`.`";types=;abilities=
unison-src/tests/methodical/empty.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/empty2.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/empty3.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/exponential.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/float.u	success	reference-parser		terms=User "withDefault";types=;abilities=
unison-src/tests/methodical/hyperbolic.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/int.u	success	reference-parser		terms=User "withDefault";types=;abilities=
unison-src/tests/methodical/let.u	success	reference-parser		terms=User "c0";types=;abilities=
unison-src/tests/methodical/literals.u	success	reference-parser		terms=User "lb",User "lc",User "lf",User "li",User "ln",User "lt",User "s",User "sc",User "sn",User "stn";types=;abilities=
unison-src/tests/methodical/loop.u	success	reference-parser		terms=User "loop";types=;abilities=
unison-src/tests/methodical/nat.u	success	reference-parser		terms=User "withDefault";types=;abilities=
unison-src/tests/methodical/nesting.u	success	reference-parser		terms=User "h0",User "h1";types=;abilities=
unison-src/tests/methodical/overapply-ability.u	success	reference-parser		terms=User "exacth",User "overapplyh",User "overapplyh2",User "overapplyh3a",User "overapplyh3b",User "overapplyh3c",User "sequence1",User "sequence2",User "sequence3",User "unzing";types=;abilities=User "Zing"
unison-src/tests/methodical/parens.u	success	reference-parser		terms=User "ex1",User "ex2",User "ex3",User "ex4",User "ex5";types=;abilities=
unison-src/tests/methodical/pattern-matching.u	success	reference-parser		terms=User "apat",User "bpat",User "ipat",User "npat",User "pat1",User "pat2",User "pat3",User "pat4",User "pat5",User "pat6",User "pat7",User "tpat";types=;abilities=
unison-src/tests/methodical/power.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/rank2.u	success	reference-parser		terms=User "rank2b";types=;abilities=
unison-src/tests/methodical/rounding.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/scopedtypevars.u	success	reference-parser		terms=User "ex1",User "ex2",User "merge";types=;abilities=
unison-src/tests/methodical/semis.u	success	reference-parser		terms=User "**",User "a",User "p",User "x",User "y",User "z";types=;abilities=
unison-src/tests/methodical/trig.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/universals.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/methodical/wildcardimports.u	success	reference-parser		terms=User "foo";types=;abilities=
unison-src/tests/multiple-effects.u	success	reference-parser		terms=User "Console.state",User "multiHandler";types=;abilities=User "Console",User "State"
unison-src/tests/parenthesized-blocks.u	success	reference-parser		terms=User "x",User "y";types=;abilities=
unison-src/tests/pattern-match-seq.u	success	reference-parser		terms=User "firstTwo",User "head",User "lastTwo",User "lenConcat1",User "lenConcat2",User "lenCons",User "lenLit",User "lenSnoc",User "middle",User "middleNel",User "optionToList",User "splitAtFour";types=;abilities=
unison-src/tests/pattern-matching.u	success	reference-parser		terms=User "foo",User "foo2",User "len",User "w",User "w2",User "x",User "y",User "z";types=User "Foo0",User "Foo1",User "Foo2",User "Foo3",User "List";abilities=
unison-src/tests/pattern-matching2.u	success	reference-parser		terms=User "x",User "y",User "z";types=User "Foo0",User "Foo1",User "Foo2",User "Foo3";abilities=
unison-src/tests/pattern-typing-bug.u	success	reference-parser		terms=User "f";types=User "Value";abilities=
unison-src/tests/pattern-weirdness.u	success	reference-parser		terms=User "go";types=;abilities=
unison-src/tests/r0.u	success	reference-parser		terms=User "r0";types=;abilities=
unison-src/tests/r1.u	success	reference-parser		terms=User "r1";types=User "Optional";abilities=
unison-src/tests/r10.u	success	reference-parser		terms=User "r10";types=;abilities=
unison-src/tests/r11.u	success	reference-parser		terms=User "r11";types=;abilities=
unison-src/tests/r12.u	success	reference-parser		terms=User "r12";types=;abilities=
unison-src/tests/r13.u	success	reference-parser		terms=User "r13";types=;abilities=
unison-src/tests/r14.u	success	reference-parser		terms=User "r14";types=;abilities=
unison-src/tests/r2.u	success	reference-parser		terms=User "r2";types=User "Optional";abilities=
unison-src/tests/r3.u	success	reference-parser		terms=User "r3";types=;abilities=
unison-src/tests/r4negate.u	success	reference-parser		terms=User "r4";types=;abilities=
unison-src/tests/r4x.u	success	reference-parser		terms=User "r4";types=;abilities=
unison-src/tests/r5.u	success	reference-parser		terms=User "r5";types=;abilities=
unison-src/tests/r6.u	success	reference-parser		terms=User "r6";types=;abilities=
unison-src/tests/r7.0.u	success	reference-parser		terms=User "r7";types=;abilities=
unison-src/tests/r7.1.u	success	reference-parser		terms=User "r7";types=;abilities=
unison-src/tests/r7.2.u	success	reference-parser		terms=User "r7";types=;abilities=
unison-src/tests/r8.u	success	reference-parser		terms=User "r8";types=;abilities=
unison-src/tests/r9.u	success	reference-parser		terms=User "r9";types=;abilities=
unison-src/tests/rainbow.u	success	reference-parser		terms=User "rainbow";types=User "Either";abilities=User "Ask",User "Zang"
unison-src/tests/records.u	success	reference-parser		terms=User "Monoid.plus",User "Monoid.plus.modify",User "Monoid.plus.set",User "Monoid.zero",User "Monoid.zero.modify",User "Monoid.zero.set",User "Point.x",User "Point.x.modify",User "Point.x.set",User "Point.y",User "Point.y.modify",User "Point.y.set",User "Point2.f",User "Point2.f.modify",User "Point2.f.set",User "Point2.point2",User "Point2.point2.modify",User "Point2.point2.set";types=User "Monoid",User "Point",User "Point2";abilities=
unison-src/tests/sequence-at-0.u	success	reference-parser		terms=;types=;abilities=
unison-src/tests/sequence-literal-argument-parsing.u	success	reference-parser		terms=User "f";types=User "X";abilities=
unison-src/tests/sequence-literal.u	success	reference-parser		terms=User "a",User "b",User "c",User "d",User "e",User "f",User "g";types=;abilities=
unison-src/tests/soe.u	success	reference-parser		terms=User "List.map",User "Monoid.op",User "Monoid.orElse",User "Monoid.zero",User "Node.increment",User "Remote.forkAt",User "Remote.runLocal",User "dmap",User "dmapReduce",User "dreduce",User "dsort",User "foldMap",User "force",User "halve",User "merge",User "sort";types=User "Future",User "Monoid",User "Node";abilities=User "Remote"
unison-src/tests/soe2.u	success	reference-parser		terms=User "halve",User "isEmpty",User "merge",User "sort",User "uncons";types=;abilities=
unison-src/tests/spurious-ability-fail-underapply.u	success	reference-parser		terms=User "wha";types=;abilities=User "Woot"
unison-src/tests/spurious-ability-fail.u	success	reference-parser		terms=User "even",User "even2",User "increment",User "odd";types=;abilities=
unison-src/tests/state1.u	success	reference-parser		terms=User "blah",User "state";types=;abilities=User "State"
unison-src/tests/state1a.u	success	reference-parser		terms=User "foo",User "id";types=;abilities=User "State"
unison-src/tests/state2.u	success	reference-parser		terms=User "state";types=;abilities=User "State"
unison-src/tests/state2a-min.u	success	reference-parser		terms=User "ex",User "state";types=;abilities=User "State"
unison-src/tests/state2a.u	success	reference-parser		terms=User "ex",User "first",User "increment",User "modify",User "modify2",User "second",User "state";types=User "Optional";abilities=User "State"
unison-src/tests/state2b-min.u	success	reference-parser		terms=User "state";types=;abilities=User "State"
unison-src/tests/state2b.u	success	reference-parser		terms=User "ex",User "first",User "increment",User "modify",User "second",User "state";types=User "Optional";abilities=User "State"
unison-src/tests/state3.u	success	reference-parser		terms=User "ex1",User "ex1a",User "ex1b",User "ex1c",User "ex1d",User "ex2",User "ex3",User "state";types=;abilities=User "State"
unison-src/tests/state4.u	success	reference-parser		terms=User "ex",User "increment",User "modify",User "state";types=;abilities=User "State"
unison-src/tests/state4a.u	success	reference-parser		terms=User "ex",User "increment",User "modify",User "state";types=;abilities=User "State"
unison-src/tests/stream.u	success	reference-parser		terms=User "++",User "forceBoth",User "from",User "fromSeq",User "map",User "run",User "run'",User "take",User "toSeq",User "unfold";types=User "Stream";abilities=User "Emit"
unison-src/tests/suffix-resolve.u	success	reference-parser		terms=User "ex1",User "ex2",User "ex3",User "foo",User "zoink";types=;abilities=
unison-src/tests/tdnr.u	success	reference-parser		terms=User "x";types=;abilities=
unison-src/tests/tdnr2.u	success	reference-parser		terms=User "bar",User "foo",User "x",User "y",User "z";types=;abilities=
unison-src/tests/tdnr3.u	success	reference-parser		terms=User "Foo.bar",User "z";types=;abilities=
unison-src/tests/tdnr4.u	success	reference-parser		terms=User "x",User "y";types=;abilities=
unison-src/tests/text-escaping.u	success	reference-parser		terms=User "find",User "id",User "x";types=;abilities=
unison-src/tests/text-pattern.u	success	reference-parser		terms=User "foo";types=;abilities=
unison-src/tests/tictactoe.u	success	reference-parser		terms=User "isWin",User "orElse",User "|>";types=User "Board",User "P";abilities=
unison-src/tests/tictactoe0-array-oob1.u	success	reference-parser		terms=User "ex";types=User "Board";abilities=
unison-src/tests/tictactoe0-npe.u	success	reference-parser		terms=User "b",User "ex",User "whatevs",User "x",User "y",User "z";types=User "Board",User "P";abilities=
unison-src/tests/tictactoe0.u	success	reference-parser		terms=User "b",User "isWin",User "orElse";types=User "Board",User "P";abilities=
unison-src/tests/tictactoe2.u	success	reference-parser		terms=User "foldLeft",User "isWin",User "orElse",User "x";types=User "Board",User "P";abilities=
unison-src/tests/tuple.u	success	reference-parser		terms=User "+";types=;abilities=
unison-src/tests/type-application.u	success	reference-parser		terms=User "blah";types=User "C",User "Wrap";abilities=User "Foo"
unison-src/tests/underscore-parsing.u	success	reference-parser		terms=User "_prefix",User "_prefix_",User "prefix_";types=;abilities=
unison-src/tests/unique.u	success	reference-parser		terms=User "id";types=User "BetterBool",User "Bool",User "Day",User "Day2";abilities=User "Blarg",User "Zang",User "Zing"
unison-src/tests/void.u	success	reference-parser		terms=;types=User "Void";abilities=
unison-src/transcripts-manual/benchmarks/array-sort.u	failure	reference-parser	   ❓      I couldn't resolve any of these names:          8 | cmp : Nat -> Nat -> Ordering         Name       Type   Suggestions                        Ordering   type   No matches 	
unison-src/transcripts-manual/benchmarks/each.u	success	reference-parser		terms=User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/fibonacci.u	success	reference-parser		terms=User "fib",User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/listfilter.u	success	reference-parser		terms=User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/listmap.u	success	reference-parser		terms=User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/map.u	success	reference-parser		terms=User "go",User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/natmap.u	success	reference-parser		terms=User "go",User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/random.u	success	reference-parser		terms=User "go",User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/simpleloop.u	success	reference-parser		terms=User "loop",User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/stm.u	success	reference-parser		terms=User "loop",User "main";types=;abilities=
unison-src/transcripts-manual/benchmarks/tmap.u	success	reference-parser		terms=User "N",User "TMap2.empty",User "TMap2.insert",User "TMap2.insert.impl",User "TMap2.lookup",User "TMap3.empty",User "TMap3.impl.empties",User "TMap3.insert",User "TMap3.insert.impl",User "TMap3.lookup",User "TMap4.empty",User "TMap4.insert",User "TMap4.insert.impl",User "TMap4.lookup",User "baseline",User "forkbomb",User "go",User "go2",User "go3",User "go4",User "gos",User "gos_TVar_Map",User "main";types=User "TMap2",User "TMap2.impl.F",User "TMap3",User "TMap3.impl.F",User "TMap4",User "TMap4.impl.F";abilities=
unison-src/transcripts-round-trip/docTest2.u	failure	reference-parser	   ❓      I couldn't resolve any of these names:          1 | docTest2 : Doc2         Name   Type   Suggestions                    Doc2   type   No matches 	
unison-src/transcripts-round-trip/ex2.u	success	reference-parser		terms=User "b";types=;abilities=
unison-src/transcripts-round-trip/reparses-with-same-hash.u	failure	reference-parser	   ❓      I couldn't resolve any of these names:         90 | fix_2271 : Doc2       .     127 | nested_fences : Doc2         Name   Type   Suggestions                    Doc2   type   No matches 	
unison-src/transcripts-round-trip/reparses.u	success	reference-parser		terms=User "explanationOfThisFile",User "sloppyDocEval";types=;abilities=
unison-src/transcripts-using-base/base.u	success	reference-parser		terms=User "<|",User "Code.transitiveDeps",User "Either.isLeft",User "Either.mapLeft",User "Either.raiseMessage",User "Exception.catch",User "Exception.failure",User "Exception.reraise",User "Exception.toEither",User "Exception.toEither.handler",User "Exception.unsafeRun!",User "List.all",User "List.filter",User "List.foldLeft",User "List.foldMap",User "List.foldMap0",User "List.forEach",User "List.head",User "List.range",User "List.reverse",User "List.unzip",User "List.zip",User "MVar.put",User "MVar.read",User "MVar.swap",User "MVar.take",User "Map.get",User "Optional.getOrBug",User "Stream.collect",User "Stream.collect.handler",User "Stream.toList",User "Stream.toList.handler",User "Text.fromUtf8",User "Value.transitiveDeps",User "ascii",User "autoCleaned",User "autoCleaned.handler",User "bContains",User "bInsert",User "bSearch",User "bSort",User "bSplit",User "cache",User "check",User "checks",User "clientSocket",User "closeFile",User "closeSocket",User "compose",User "compose2",User "compose3",User "contains",User "crawl",User "createTempDirectory",User "decodeCert",User "delay",User "directoryContents",User "evalTest",User "expect",User "expectU",User "fail",User "fileExists",User "first",User "fromB32",User "fromHex",User "getArgs",User "getBuffering",User "getBytes",User "getChar",User "getEcho",User "getLine",User "getSomeBytes",User "getTempDirectory",User "handlePosition",User "handshake",User "hex",User "id",User "isDirectory",User "isFileEOF",User "isFileOpen",User "isNone",User "isSeekable",User "isSome",User "listen",User "loadCodeBytes",User "loadSelfContained",User "loadValueBytes",User "newClient",User "newServer",User "openFile",User "printLine",User "printText",User "putBytes",User "readFile",User "ready",User "receive",User "removeDirectory",User "renameDirectory",User "runTest",User "saveSelfContained",User "saveTestCase",User "seekHandle",User "send",User "serverSocket",User "setBuffering",User "setEcho",User "snd",User "socketAccept",User "socketPort",User "startsWith",User "stdout",User "systemTime",User "terminate",User "uncurry",User "void",User "when",User "writeFile",User "|>";types=User "Map";abilities=User "Exception",User "Stream",User "TempDirs",User "Throw"
unison-src/transcripts-using-base/doc.md.files/syntax.u	success	reference-parser		terms=User "basicFormatting",User "doc.guide",User "evaluation",User "includingSource",User "lists",User "nonUnisonCodeBlocks",User "otherElements",User "sqr";types=;abilities=
